STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE - first day of week to last day,AWND - avg wind speed mph,avg precipitation in,total precipitation recorded in,avg snowfall in,total snowfall in,TAVG - avg temp F,avg max temp F,abs max temp F,avg min temp F,abs min temp F,avg temp between min and max (using columns M and O)
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-01-01 : 2017-01-07,5.363064516,0.07142857143,0.5,0.5407216495,3.785051547,47.37634409,41.71428571,50,27.14285714,16,34.42857143
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-01-08 : 2017-01-14,5.363064516,0.24,1.2,8,16,47.37634409,42.85714286,53,31.28571429,22,37.07142857
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-01-15 : 2017-01-21,5.363064516,0.4971428571,3.48,13.2,39.6,47.37634409,35.33333333,46,11.16666667,5,23.25
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-01-22 : 2017-01-28,5.363064516,0.7414285714,5.19,11,33,47.37634409,34.85714286,40,9.285714286,-2,22.07142857
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-01-29 : 2017-02-04,5.309969758,0.07714285714,0.54,0.8,4,49.58102919,53.14285714,56,24.42857143,18,38.78571429
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-02-05 : 2017-02-11,5.256875,0.1571428571,1.1,1.142857143,8,51.78571429,53.28571429,67,32.28571429,22,42.78571429
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-02-12 : 2017-02-18,5.256875,0.21,1.47,2.428571429,17,51.78571429,50.14285714,56,25.57142857,20,37.85714286
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-02-19 : 2017-02-25,5.256875,0,0,0,0,51.78571429,42.28571429,48,27.71428571,10,35
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-02-26 : 2017-03-04,5.839485887,0.3571428571,2.5,2.5,17.5,55.46633385,47.14285714,56,19.42857143,10,33.28571429
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-03-05 : 2017-03-11,6.422096774,0.007142857143,0.05,0.08333333333,0.5,59.14695341,56.28571429,65,29.14285714,20,42.71428571
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-03-12 : 2017-03-18,6.422096774,0,0,0,0,59.14695341,66.57142857,78,29.42857143,26,48
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-03-19 : 2017-03-25,6.422096774,0.002857142857,0.02,0,0,59.14695341,58.57142857,70,28.85714286,20,43.71428571
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-03-26 : 2017-04-01,7.059340054,0,0,0,0,60.44419914,60.57142857,70,25.14285714,18,42.85714286
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-04-02 : 2017-04-08,7.696583333,0,0,0,0,61.74144487,58,68,37.28571429,28,47.64285714
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-04-09 : 2017-04-15,7.696583333,0,0,0,0,61.74144487,60.71428571,65,30.14285714,25,45.42857143
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-04-16 : 2017-04-22,7.696583333,0,0,0,0,61.74144487,60.14285714,66,34.28571429,32,47.21428571
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-04-23 : 2017-04-29,7.696583333,0,0,0,0,61.74144487,64.85714286,70,36.71428571,23,50.78571429
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-04-30 : 2017-05-06,7.835912634,0,0,0,0,63.25003278,67.71428571,74,36.85714286,30,52.28571429
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-05-07 : 2017-05-13,7.975241935,0.1285714286,0.9,0.6833333333,4.1,64.75862069,63.71428571,70,34.71428571,18,49.21428571
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-05-14 : 2017-05-20,7.975241935,0,0,0,0,64.75862069,62,68,35,26,48.5
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-05-21 : 2017-05-27,7.975241935,0,0,0,0,64.75862069,74.57142857,79,45.42857143,39,60
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-05-28 : 2017-06-03,7.738037634,0,0,0,0,70.44042146,68.71428571,75,41.14285714,36,54.92857143
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-06-04 : 2017-06-10,7.500833333,0,0,0,0,76.12222222,75.57142857,77,46.71428571,40,61.14285714
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-06-11 : 2017-06-17,7.500833333,0,0,0,0,76.12222222,77.57142857,85,40.57142857,38,59.07142857
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-06-18 : 2017-06-24,7.500833333,0,0,0,0,76.12222222,87.42857143,90,58.71428571,55,73.07142857
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-06-25 : 2017-07-01,7.357513441,0,0,0,0,78.54856631,82.42857143,87,52.71428571,44,67.57142857
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-07-02 : 2017-07-08,7.214193548,0,0,0,0,80.97491039,82.28571429,86,53.14285714,51,67.71428571
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-07-09 : 2017-07-15,7.214193548,0,0,0,0,80.97491039,83,85,53.42857143,50,68.21428571
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-07-16 : 2017-07-22,7.214193548,0,0,0,0,80.97491039,80.57142857,84,52.85714286,50,66.71428571
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-07-23 : 2017-07-29,7.214193548,0,0,0,0,80.97491039,77.2,82,51.2,50,64.2
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-07-30 : 2017-08-05,7.070887097,0.2071428571,1.45,0,0,80.13261649,74.83333333,80,47.33333333,36,61.08333333
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-08-06 : 2017-08-12,6.927580645,0,0,0,0,79.29032258,79.28571429,80,50,42,64.64285714
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-08-13 : 2017-08-19,6.927580645,0,0,0,0,79.29032258,78.14285714,80,46.85714286,44,62.5
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-08-20 : 2017-08-26,6.927580645,0,0,0,0,79.29032258,78.14285714,81,51.14285714,50,64.64285714
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-08-27 : 2017-09-02,6.991665323,0.01428571429,0.1,0,0,75.38405018,83.14285714,85,52.57142857,52,67.85714286
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-09-03 : 2017-09-09,7.05575,0.11,0.77,0,0,71.47777778,72.57142857,76,49.42857143,45,61
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-09-10 : 2017-09-16,7.05575,0,0,0,0,71.47777778,66,66,36,35,51
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-09-17 : 2017-09-23,7.05575,0,0,0,0,71.47777778,66.95238095,68.66666667,37.19047619,35.66666667,52.07142857
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-09-24 : 2017-09-30,7.05575,0,0,0,0,71.47777778,67.9047619,71.33333333,38.38095238,36.33333333,53.14285714
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-10-01 : 2017-10-07,5.948064516,0,0,0,0,68.1827957,68.85714286,74,39.57142857,37,54.21428571
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-10-08 : 2017-10-14,5.948064516,0,0,0,0,68.1827957,67.85714286,72,36,31,51.92857143
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-10-15 : 2017-10-21,5.948064516,0,0,0,0,68.1827957,65,67,37.66666667,34,51.33333333
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-10-22 : 2017-10-28,5.948064516,0,0,0,0,68.1827957,67.42857143,70,40.85714286,37,54.14285714
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-10-29 : 2017-11-04,5.071282258,0,0,0,0,64.30436082,60.57142857,66,37.57142857,26,49.07142857
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-11-05 : 2017-11-11,4.1945,0,0,0,0,60.42592593,56.28571429,60,40,33,48.14285714
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-11-12 : 2017-11-18,4.1945,0.03285714286,0.23,0,0,60.42592593,60,63,41.28571429,34,50.64285714
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-11-19 : 2017-11-25,4.1945,0,0,0,0,60.42592593,60,72,35.83333333,27,47.91666667
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-11-26 : 2017-12-02,5.040354839,0,0,0,0,57.96385902,60.42857143,72,38.28571429,29,49.35714286
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-12-03 : 2017-12-09,5.886209677,0,0,0,0,55.50179211,46.57142857,58,28.57142857,17,37.57142857
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-12-10 : 2017-12-16,5.886209677,0,0,0,0,55.50179211,54,60,30.83333333,25,42.41666667
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-12-17 : 2017-12-23,5.886209677,0,0,0,0,55.50179211,42.57142857,52,25,12,33.78571429
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-12-24 : 2017-12-30,5.886209677,0,0,0,0,55.50179211,57,61,31.4,28,44.2
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2017-12-31 : 2018-01-06,5.211532258,0,0,0.02617801047,0.1832460733,55.54480287,54.28571429,58,32.42857143,29,43.35714286
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2018-01-07 : 2018-01-13,4.536854839,1.365714286,9.56,2.733333333,8.2,55.58781362,50,58,32.85714286,25,41.42857143
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2018-01-14 : 2018-01-20,4.536854839,0.04,0.28,1.8,1.8,55.58781362,53.28571429,58,30.14285714,19,41.71428571
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2018-01-21 : 2018-01-27,4.536854839,0,0,0,0,55.58781362,41.71428571,52,21.14285714,12,31.42857143
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2018-01-28 : 2018-02-03,5.169320277,0,0,0.06735448106,0.4714813674,53.63716078,53.42857143,59,30.42857143,29,41.92857143
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2018-02-04 : 2018-02-10,5.801785714,0,0,0.08235294118,0.5764705883,51.68650794,53,56,32.28571429,28,42.64285714
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2018-02-11 : 2018-02-17,5.801785714,0,0,0,0,51.68650794,45.14285714,59,20.85714286,10,33
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2018-02-18 : 2018-02-24,5.801785714,0.1585714286,1.11,0.45,1.8,51.68650794,36.14285714,59,13.57142857,2,24.85714286
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2018-02-25 : 2018-03-03,6.12452189,0.02142857143,0.15,1.45,2.9,52.97049412,41.14285714,46,19.85714286,5,30.5
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2018-03-04 : 2018-03-10,6.447258065,0.004285714286,0.03,0.02363636364,0.1654545455,54.25448029,48.28571429,55,27.57142857,16,37.92857143
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2018-03-11 : 2018-03-17,6.447258065,0.25,1.75,0.925,3.7,54.25448029,46,51,27.71428571,15,36.85714286
USC00045091,"LONG VALLEY 2, CA US",33.81299,-116.64193,2554.2,2018-03-18 : 2018-03-24,6.447258065,0.1914285714,1.34,0.175,0.7,54.25448029,44.71428571,50,29.14285714,19,36.92857143
